epoch,coarse_loss,coarse_psnr,coarse_ssim,fine_loss,fine_psnr,fine_ssim,val_coarse_loss,val_coarse_psnr,val_coarse_ssim,val_fine_loss,val_fine_psnr,val_fine_ssim
0,0.08339625597000122,11.147414207458496,0.40668773651123047,0.08610044419765472,11.21976089477539,0.296051561832428,0.058394528925418854,12.375960350036621,0.4135313928127289,0.051278255879879,12.927067756652832,0.3063933849334717
5,0.030296199023723602,15.220047950744629,0.4731265902519226,0.03066028282046318,15.165857315063477,0.4693467617034912,0.02926381677389145,15.369747161865234,0.47467222809791565,0.029577048495411873,15.323487281799316,0.46395930647850037
10,0.027062324807047844,15.724287033081055,0.4963887929916382,0.02714737504720688,15.705314636230469,0.5006469488143921,0.02635405957698822,15.84199333190918,0.49537205696105957,0.02636568620800972,15.838647842407227,0.4913173317909241
15,0.024773119017481804,16.116004943847656,0.5096962451934814,0.024227505549788475,16.21537208557129,0.5129572153091431,0.024152018129825592,16.23319435119629,0.5084100961685181,0.02351963333785534,16.3558406829834,0.5084250569343567
20,0.02271086536347866,16.495685577392578,0.521853506565094,0.022026563063263893,16.638935089111328,0.5319912433624268,0.02220751717686653,16.60227394104004,0.5218340754508972,0.02148144319653511,16.76068687438965,0.5319925546646118
25,0.02103050798177719,16.83159065246582,0.5381700992584229,0.02051708474755287,16.951871871948242,0.5501283407211304,0.020615125074982643,16.927061080932617,0.5374520421028137,0.020112337544560432,17.049884796142578,0.5508291125297546
30,0.019575275480747223,17.14513397216797,0.5505935549736023,0.019251827150583267,17.229265213012695,0.5618069171905518,0.019242864102125168,17.226057052612305,0.5478968620300293,0.018889518454670906,17.318784713745117,0.5606251358985901
35,0.018360065296292305,17.424829483032227,0.5644958019256592,0.018101397901773453,17.49529457092285,0.5722468495368958,0.018097897991538048,17.491472244262695,0.5610730051994324,0.017824821174144745,17.564687728881836,0.5702124834060669
40,0.01731017976999283,17.676963806152344,0.5780220627784729,0.01718379743397236,17.71736717224121,0.5837287306785583,0.017121493816375732,17.725292205810547,0.5748231410980225,0.016964858397841454,17.772037506103516,0.5814340114593506
45,0.01635844074189663,17.913829803466797,0.5919602513313293,0.01634473167359829,17.926528930664062,0.5938496589660645,0.0162714384496212,17.935258865356445,0.5892677307128906,0.016171887516975403,17.968753814697266,0.5918933153152466
