epoch,coarse_loss,coarse_psnr,coarse_ssim,fine_loss,fine_psnr,fine_ssim,val_coarse_loss,val_coarse_psnr,val_coarse_ssim,val_fine_loss,val_fine_psnr,val_fine_ssim
0,0.044009849429130554,13.702103614807129,0.37790748476982117,0.06013066694140434,12.322623252868652,0.36930203437805176,0.03114902786910534,15.104755401611328,0.4402771294116974,0.04609479755163193,13.411966323852539,0.4002944827079773
5,0.024185456335544586,16.231569290161133,0.509860098361969,0.025919966399669647,15.91607666015625,0.49990829825401306,0.023327531293034554,16.40513801574707,0.5268910527229309,0.025298690423369408,16.033550262451172,0.5126647353172302
10,0.02016327902674675,17.026687622070312,0.5526528358459473,0.02157854102551937,16.72402000427246,0.5344650745391846,0.019623631611466408,17.152233123779297,0.5602661967277527,0.021257303655147552,16.804615020751953,0.5485154986381531
15,0.017969781532883644,17.522226333618164,0.5703861117362976,0.018785636872053146,17.32849884033203,0.5572586059570312,0.01753048039972782,17.63201141357422,0.5710847973823547,0.018346764147281647,17.437484741210938,0.5594696998596191
20,0.01602352410554886,18.00017547607422,0.5957689881324768,0.016756709665060043,17.810277938842773,0.5810250639915466,0.01588871143758297,18.03487777709961,0.5984938144683838,0.01655208319425583,17.864145278930664,0.5811946988105774
25,0.014752193354070187,18.346899032592773,0.6166514754295349,0.015387666411697865,18.16733169555664,0.6049059629440308,0.014769775792956352,18.338268280029297,0.6189045906066895,nan,nan,nan
30,0.01376883964985609,18.640419006347656,0.6331250071525574,0.014408089220523834,18.446998596191406,0.6225075721740723,0.01382552832365036,18.618968963623047,0.6350463032722473,0.014516553841531277,18.411514282226562,0.6237276792526245
35,0.012881380505859852,18.927291870117188,0.6480473875999451,0.01358877681195736,18.69829559326172,0.636859118938446,0.012922847643494606,18.909730911254883,0.6500142812728882,0.013729644007980824,18.650596618652344,0.6378719210624695
40,0.011984976939857006,19.240406036376953,0.6653101444244385,0.012726881541311741,18.98221778869629,0.6529071927070618,0.011957814916968346,19.247013092041016,0.6672834753990173,0.01305422093719244,18.868812561035156,0.6512207984924316
45,0.011168480850756168,19.547500610351562,0.681044340133667,0.012009339407086372,19.23474884033203,0.6663020849227905,0.011161038652062416,19.5485897064209,0.6828209161758423,0.012168599292635918,19.175540924072266,0.6664764881134033
50,0.010501276701688766,19.81647491455078,0.6949102282524109,0.011361964046955109,19.475736618041992,0.6782371997833252,0.010518602095544338,19.808361053466797,0.6962489485740662,0.011434081010520458,19.44634246826172,0.6798290014266968
55,0.009948541410267353,20.05303955078125,0.7069928646087646,0.010826116427779198,19.68634796142578,0.689360499382019,0.00998072698712349,20.038785934448242,0.7075682878494263,0.010932120494544506,19.642908096313477,0.6908295154571533
60,0.00948166474699974,20.2637996673584,0.7176225185394287,0.010374915786087513,19.872486114501953,0.6993030309677124,0.009523395448923111,20.24534034729004,0.7173488140106201,0.010506432503461838,19.817703247070312,0.7007511258125305
65,0.009077002294361591,20.456247329711914,0.7284373641014099,0.009910674765706062,20.07367515563965,0.7103857398033142,0.009103653952479362,20.445655822753906,0.7268369793891907,0.00989330094307661,20.08249855041504,0.7112219929695129
70,0.008647985756397247,20.667959213256836,0.7385892271995544,0.009475934319198132,20.269515991210938,0.7212722897529602,0.00867299735546112,20.65912437438965,0.7364880442619324,0.009544054977595806,20.242523193359375,0.7208086252212524
75,0.008280482143163681,20.858959197998047,0.7478340268135071,0.009095747023820877,20.4498348236084,0.7310061454772949,0.008328494615852833,20.838598251342773,0.7449687123298645,0.00913755502551794,20.434022903442383,0.730582594871521
80,0.007987349294126034,21.01784896850586,0.7556460499763489,0.008791780099272728,20.599098205566406,0.7388284206390381,0.008062571287155151,20.983165740966797,0.7520061731338501,0.008835738524794579,20.582775115966797,0.737648069858551
85,0.00774818891659379,21.15203857421875,0.7621444463729858,0.008537291549146175,20.728271484375,0.7453367710113525,0.007841762155294418,21.106924057006836,0.7579343318939209,0.008581902831792831,20.711652755737305,0.7435925006866455
90,0.007548619527369738,21.26724624633789,0.7676467299461365,0.008314020931720734,20.844221115112305,0.7508400082588196,0.007653950247913599,21.214929580688477,0.7630824446678162,0.008369158953428268,20.82331085205078,0.7485301494598389
95,0.007374835200607777,21.36994171142578,0.7724549770355225,0.0081027802079916,20.957199096679688,0.755881130695343,0.007495694328099489,21.308094024658203,0.767452597618103,0.008167100138962269,20.931982040405273,0.7529872059822083
100,0.007223502267152071,21.461448669433594,0.7766028642654419,0.007907169871032238,21.064926147460938,0.7607581615447998,0.00735704367980361,21.391237258911133,0.7712805271148682,0.00797442626208067,21.038013458251953,0.757493257522583
105,0.007092541549354792,21.5421085357666,0.7802678942680359,0.007710376288741827,21.17507553100586,0.7660224437713623,0.007237529382109642,21.46426010131836,0.7747108340263367,0.007791014388203621,21.141122817993164,0.7622177004814148
110,0.006975826807320118,21.615406036376953,0.783515214920044,0.007545263972133398,21.270225524902344,0.770673930644989,0.0071297911927104,21.531326293945312,0.7777268886566162,0.007634349633008242,21.23138427734375,0.7663555145263672
115,0.006871778983622789,21.68170738220215,0.7863845825195312,0.007394426502287388,21.359270095825195,0.7746629118919373,0.007031682878732681,21.5931339263916,0.7804732322692871,0.007509761489927769,21.304443359375,0.7696838974952698
120,0.00677840830758214,21.7420654296875,0.7889700531959534,0.007263585925102234,21.437788009643555,0.778015673160553,0.006945363245904446,21.64846420288086,0.7828059196472168,0.007392589468508959,21.374435424804688,0.7727157473564148
