epoch,coarse_loss,coarse_psnr,coarse_ssim,fine_loss,fine_psnr,fine_ssim,val_coarse_loss,val_coarse_psnr,val_coarse_ssim,val_fine_loss,val_fine_psnr,val_fine_ssim
0,0.0462922565639019,14.318159103393555,0.5778180360794067,0.041778646409511566,14.935474395751953,0.5769025087356567,0.021210864186286926,17.24062156677246,0.6550379395484924,0.015744348987936974,18.39899253845215,0.6652477383613586
5,0.005181295797228813,22.99993324279785,0.7663296461105347,0.00492469547316432,23.208637237548828,0.7845256328582764,0.005162153393030167,22.99675941467285,0.7715674638748169,0.005142540205270052,23.047529220581055,0.7974701523780823
10,0.003674792591482401,24.481422424316406,0.8200441002845764,0.0032764398492872715,24.98348617553711,0.8474162220954895,0.003913302440196276,24.226587295532227,0.8187160491943359,0.003888398176059127,24.229114532470703,0.8440321087837219
15,0.0030289238784462214,25.340991973876953,0.8502522110939026,0.0026793228462338448,25.885332107543945,0.8754638433456421,0.003517602104693651,24.705080032348633,0.8460007309913635,0.0032876357436180115,24.955171585083008,0.8716346621513367
20,0.0025595021434128284,26.073148727416992,0.8723991513252258,0.002020342042669654,27.128101348876953,0.8990683555603027,0.002952472772449255,25.445344924926758,0.8679125905036926,0.002200851682573557,26.740558624267578,0.8947186470031738
25,0.0021641321945935488,26.7989444732666,0.8930982947349548,0.0017266549402847886,27.825395584106445,0.9135123491287231,0.002395307645201683,26.37395668029785,0.8886806964874268,0.0017941590631380677,27.660564422607422,0.911796510219574
30,0.0018822380807250738,27.397140502929688,0.9070764780044556,0.001586554804816842,28.217323303222656,0.9229944348335266,0.002133141504600644,26.895524978637695,0.9012314677238464,0.0016824603080749512,27.968618392944336,0.920257568359375
35,0.001694667967967689,27.850849151611328,0.9160218834877014,0.0014812665758654475,28.536212921142578,0.9298772215843201,0.002042471431195736,27.096059799194336,0.906985878944397,0.0015531361568719149,28.371809005737305,0.9278234839439392
40,0.0015690759755671024,28.18594741821289,0.9217183589935303,0.0013174397172406316,29.05866050720215,0.9366869330406189,0.002033822936937213,27.1275691986084,0.9087809920310974,0.0014613148523494601,28.668458938598633,0.9336100220680237
45,0.0014866841956973076,28.4278621673584,0.9250032305717468,0.0011985467281192541,29.49576187133789,0.9414348006248474,0.0019467296078801155,27.333385467529297,0.9114541411399841,0.001359707210212946,29.025585174560547,0.9374311566352844
